NOMBRE_LENGUAJE	NRO_APARICIONES
go	41730
java	164327
objective-c	5463
r	26249
lua	9607
assembly-language	1129
ruby	28232
perl	3838
swift	33941
visual-basic	915
matlab	9666
c	43886
visual-basic-for-applications	35
sql	24174
object-pascal	214
php	89640
javascript	307410
cpp	45367
csharp	46851
python	276404
